Iso3_code;Country;Region;Subregion;Indicator;Dimension;Category;Sex;Age;Year;Unit of measurement;VALUE;Source
LTU;Lithuania;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2017;Counts;178;CTS
LVA;Latvia;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2017;Counts;152;CTS
MEX;Mexico;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2017;Counts;4428;CTS
MLT;Malta;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2017;Counts;11;CTS
MNG;Mongolia;Asia;Eastern Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2017;Counts;170;CTS
NOR;Norway;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2017;Counts;21;CTS
OMN;Oman;Asia;Western Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2017;Counts;19;CTS
RUS;Russian Federation;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2017;Counts;10769;CTS
SRB;Serbia;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2017;Counts;65;CTS
SVK;Slovakia;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2017;Counts;39;CTS
SVN;Slovenia;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2017;Counts;17;CTS
TTO;Trinidad and Tobago;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2017;Counts;117;NGO
TUR;Türkiye;Asia;Western Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2017;Counts;5935;CTS
UZB;Uzbekistan;Asia;Central Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2017;Counts;473;CTS
ALB;Albania;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;57;CTS
ARM;Armenia;Asia;Western Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;40;CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;7;CTS
AUT;Austria;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;44;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;189;CTS
BEL;Belgium;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;51;CTS
BGR;Bulgaria;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;108;CTS
BHS;Bahamas;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;99;CTS
BOL;Bolivia (Plurinational State of);Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;501;CTS
BRB;Barbados;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;18;CTS
CHE;Switzerland;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;19;CTS
CHL;Chile;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;259;CTS
CZE;Czechia;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;38;CTS
DEU;Germany;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;402;CTS
DMA;Dominica;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;12;CTS
DNK;Denmark;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;56;CTS
ESP;Spain;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;241;CTS
FIN;Finland;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;50;CTS
FRA;France;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;692;CTS
GRC;Greece;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;50;CTS
GUY;Guyana;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;71;CTS
HRV;Croatia;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;16;CTS
HUN;Hungary;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;42;CTS
ISL;Iceland;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;2;CTS
ITA;Italy;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;625;CTS
JOR;Jordan;Asia;Western Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;224;MNS
KNA;Saint Kitts and Nevis;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;17;CTS
LCA;Saint Lucia;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;17;CTS
LKA;Sri Lanka;Asia;Southern Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;452;CTS
LTU;Lithuania;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;99;CTS
LVA;Latvia;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;131;CTS
MEX;Mexico;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;5219;CTS
MLT;Malta;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;1;CTS
MNG;Mongolia;Asia;Eastern Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;178;CTS
NOR;Norway;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;21;CTS
OMN;Oman;Asia;Western Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;3;CTS
RUS;Russian Federation;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;9748;CTS
SRB;Serbia;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;96;CTS
SVK;Slovakia;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;40;CTS
SVN;Slovenia;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;8;CTS
TTO;Trinidad and Tobago;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;114;NGO
TUR;Türkiye;Asia;Western Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;4663;CTS
UZB;Uzbekistan;Asia;Central Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2018;Counts;403;CTS
ALB;Albania;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;78;CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;2;CTS
AUT;Austria;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;28;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;204;CTS
BEL;Belgium;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;50;CTS
BGR;Bulgaria;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;109;CTS
BRB;Barbados;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;34;CTS
BTN;Bhutan;Asia;Southern Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;5;CTS
CAN;Canada;Americas;Northern America;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;463;CTS
CHE;Switzerland;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;26;CTS
DEU;Germany;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;415;CTS
DMA;Dominica;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;14;CTS
DNK;Denmark;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;55;CTS
ESP;Spain;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;251;CTS
FRA;France;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;688;CTS
GUY;Guyana;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;78;CTS
HRV;Croatia;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;21;CTS
HUN;Hungary;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;44;CTS
ISL;Iceland;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;0;CTS
ITA;Italy;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;723;CTS
JOR;Jordan;Asia;Western Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;135;MNS
KNA;Saint Kitts and Nevis;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;26;CTS
LCA;Saint Lucia;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;15;CTS
LTU;Lithuania;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;89;CTS
LVA;Latvia;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;127;CTS
MLT;Malta;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;3;CTS
MNG;Mongolia;Asia;Eastern Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;200;CTS
NOR;Norway;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;18;CTS
RUS;Russian Federation;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;9302;CTS
SRB;Serbia;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;76;CTS
SVK;Slovakia;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;67;CTS
SVN;Slovenia;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;16;CTS
TTO;Trinidad and Tobago;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2019;Counts;98;NGO
ALB;Albania;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;69;CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;8;CTS
AUT;Austria;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;36;CTS
AZE;Azerbaijan;Asia;Western Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;213;CTS
BEL;Belgium;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;51;CTS
BGR;Bulgaria;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;64;CTS
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;33;CTS
BLZ;Belize;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;53;CTS/MoI
BRB;Barbados;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;40;CTS
BTN;Bhutan;Asia;Southern Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;18;CTS
CAN;Canada;Americas;Northern America;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;480;CTS
CHE;Switzerland;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;16;CTS
CZE;Czechia;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;42;CTS
DEU;Germany;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;391;CTS
DMA;Dominica;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;7;CTS
DNK;Denmark;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;80;CTS
ESP;Spain;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;256;CTS
FRA;France;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;668;CTS
GRC;Greece;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;33;CTS
GUY;Guyana;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;106;CTS
HRV;Croatia;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;28;CTS
HUN;Hungary;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;71;CTS
ISL;Iceland;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;2;CTS
ITA;Italy;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;659;CTS
JOR;Jordan;Asia;Western Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;182;MNS
KNA;Saint Kitts and Nevis;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;30;CTS
LCA;Saint Lucia;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;14;CTS
LIE;Liechtenstein;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;1;CTS
LTU;Lithuania;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;77;CTS
LVA;Latvia;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;114;CTS
MLT;Malta;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;4;CTS
MNE;Montenegro;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;14;CTS
MNG;Mongolia;Asia;Eastern Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;190;CTS
NOR;Norway;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;20;CTS
RUS;Russian Federation;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;9277;CTS
SRB;Serbia;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;74;CTS
SVK;Slovakia;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;50;CTS
SVN;Slovenia;Europe;Southern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;8;CTS
TTO;Trinidad and Tobago;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;90;NGO
VCT;Saint Vincent and the Grenadines;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Male;Total;2020;Counts;13;NGO
ARM;Armenia;Asia;Western Asia;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Female;Total;2013;Counts;8;CTS
CHE;Switzerland;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Female;Total;2013;Counts;3;CTS
COL;Colombia;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Female;Total;2013;Counts;1306;CTS
CZE;Czechia;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Female;Total;2013;Counts;15;CTS
DEU;Germany;Europe;Western Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Female;Total;2013;Counts;110;CTS
FIN;Finland;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Female;Total;2013;Counts;13;CTS
GTM;Guatemala;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Female;Total;2013;Counts;294;CTS
HND;Honduras;Americas;Latin America and the Caribbean;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Female;Total;2013;Counts;18;CTS
HUN;Hungary;Europe;Eastern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Female;Total;2013;Counts;56;CTS
ISL;Iceland;Europe;Northern Europe;Persons arrested/suspected for intentional homicide;by citizenship;National citizens;Female;Total;2013;Counts;0;CTS
